junction,hour,day_of_week,weather,temperature_c,vehicles,congestion_score,high_congestion
0,8,1,0,30.0,670,16.7,1
4,10,5,0,36.4,497,16.3,1
2,17,0,0,37.8,572,18.9,1
4,16,3,0,37.0,240,8.2,1
6,18,0,1,36.3,599,20.2,1
7,11,6,0,42.0,219,6.9,1
7,8,2,0,30.1,554,18.1,1
7,19,4,1,35.2,438,14.8,1
6,2,0,2,22.6,46,1.1,0
1,12,3,3,38.4,177,4.7,0
7,13,0,0,38.0,253,8.1,1
6,1,5,0,19.5,45,1.6,0
2,4,6,0,18.7,36,0.9,0
4,1,0,1,18.0,22,0.8,0
1,2,1,0,20.1,78,1.5,0
3,18,5,0,36.2,381,12.7,1
0,11,6,1,39.3,285,6.9,1
5,18,0,0,34.0,570,19.0,1
3,18,1,0,34.6,576,19.5,1
1,22,5,1,24.0,277,6.3,1
1,18,5,0,36.7,735,18.5,1
1,15,4,1,40.8,323,8.3,1
6,8,4,1,31.7,451,15.4,1
2,2,5,0,18.0,60,2.0,0
2,10,1,0,37.2,534,17.5,1
0,2,4,3,18.0,35,0.2,0
6,16,3,1,40.0,320,10.4,1
6,14,5,0,41.2,210,7.2,1
5,14,4,0,41.0,254,8.9,1
3,16,4,3,37.5,223,7.0,1
1,21,6,2,33.4,161,4.7,0
7,21,1,0,28.9,305,10.7,1
4,20,5,0,31.0,188,6.6,1
7,22,1,2,26.4,218,7.5,1
0,4,4,2,18.7,16,0.4,0
1,1,0,0,18.0,74,1.9,0
4,5,2,0,22.2,20,0.7,0
7,3,3,0,18.7,47,1.5,0
1,8,6,0,29.8,598,14.8,1
4,16,4,1,40.8,169,5.7,0
5,18,5,1,36.6,422,14.1,1
6,7,5,0,27.3,101,3.4,0
1,10,4,1,33.2,747,18.5,1
7,19,2,0,31.0,570,18.8,1
6,6,2,0,22.2,39,0.7,0
5,18,0,0,35.1,558,18.9,1
0,5,5,1,19.5,63,1.9,0
1,2,1,0,18.4,20,0.9,0
2,0,2,1,19.2,59,1.6,0
1,15,3,1,40.3,291,7.0,1
5,12,3,1,42.0,140,4.3,0
1,16,4,1,38.4,233,6.4,1
6,20,1,0,27.5,174,5.3,0
1,12,6,0,42.0,326,8.3,1
4,1,6,1,23.2,33,1.1,0
4,2,6,1,18.0,42,2.0,0
6,2,1,1,18.0,25,0.5,0
6,9,6,1,34.1,405,14.1,1
1,18,6,1,37.4,599,15.0,1
7,14,5,1,41.7,188,5.8,0
6,3,1,2,21.0,31,0.7,0
0,10,1,1,34.6,712,17.7,1
7,7,5,0,26.9,111,3.6,0
7,8,3,2,31.3,360,11.8,1
6,23,1,0,20.6,37,1.1,0
0,8,5,1,30.8,538,13.4,1
7,14,2,0,42.0,321,10.1,1
6,18,1,2,32.3,480,15.7,1
1,20,2,0,30.3,287,7.4,1
0,23,6,1,22.5,71,1.9,0
3,20,5,1,31.6,243,8.3,1
5,0,0,0,19.3,48,1.4,0
6,5,3,0,22.1,33,1.6,0
6,0,1,0,18.0,45,1.4,0
2,1,5,1,22.9,63,2.3,0
1,20,3,0,27.2,307,7.3,1
3,1,3,2,18.4,14,0.7,0
7,3,5,0,20.9,32,0.7,0
7,3,5,0,19.1,59,2.3,0
6,15,2,0,42.0,154,5.3,0
7,2,1,1,18.0,48,1.7,0
5,16,1,0,41.7,306,9.6,1
7,2,6,3,18.7,42,1.5,0
1,16,0,1,40.2,224,6.0,1
4,1,1,1,18.8,21,1.0,0
3,16,1,0,41.5,248,8.0,1
6,11,0,0,37.1,238,7.8,1
4,19,3,0,37.0,558,18.4,1
4,11,1,0,38.0,138,4.9,0
1,5,5,0,18.0,77,1.8,0
5,16,2,1,38.7,221,7.4,1
7,5,4,0,18.5,75,1.7,0
3,19,3,0,33.2,640,20.9,1
7,9,1,0,32.2,466,15.9,1
7,6,0,1,23.0,39,0.8,0
2,18,1,0,33.4,615,20.9,1
5,11,4,0,41.7,238,8.2,1
2,17,4,0,37.2,563,18.5,1
3,23,1,0,23.3,45,1.5,0
5,21,4,0,27.1,262,8.3,1
1,10,3,3,38.7,438,10.5,1
4,6,1,2,23.5,19,0.6,0
7,14,4,0,42.0,222,7.1,1
5,17,6,0,38.9,429,14.4,1
6,14,3,1,38.9,215,7.1,1
4,22,4,0,23.3,245,7.7,1
6,15,5,1,42.0,287,9.0,1
0,11,3,0,33.4,260,6.5,1
7,2,4,3,18.0,23,0.4,0
2,9,5,0,35.6,421,13.7,1
7,18,1,0,34.5,594,19.5,1
5,18,1,0,38.4,494,16.3,1
4,20,1,1,34.1,331,11.2,1
5,3,4,1,21.7,35,1.1,0
3,19,4,0,36.0,547,17.9,1
2,23,2,0,23.7,68,2.1,0
2,8,3,0,29.4,490,16.4,1
7,15,2,0,41.4,298,10.3,1
0,14,4,2,39.0,170,3.5,0
2,21,0,0,26.8,253,8.8,1
6,20,3,2,31.1,185,6.0,1
6,22,3,0,24.1,242,7.3,1
2,12,1,0,42.0,256,8.6,1
3,6,0,0,24.9,74,2.4,0
1,9,0,0,32.9,777,19.7,1
7,18,4,0,34.1,533,18.1,1
4,16,0,0,41.7,234,7.8,1
2,3,1,0,19.2,62,2.1,0
0,3,1,0,20.2,77,1.9,0
2,20,3,2,30.0,175,6.0,1
5,4,4,0,18.0,20,0.4,0
4,2,1,0,19.0,39,0.4,0
3,11,4,2,42.0,219,7.2,1
4,12,0,2,39.8,123,4.1,0
6,3,2,1,22.4,59,2.7,0
4,3,5,0,18.3,33,1.1,0
4,17,1,3,35.3,423,14.5,1
6,16,0,0,42.0,212,7.0,1
4,2,5,1,20.5,68,2.0,0
4,0,1,0,18.0,51,1.9,0
2,17,2,0,40.6,634,21.2,1
6,3,1,0,19.5,65,1.7,0
7,18,2,0,39.9,649,21.7,1
0,11,1,0,36.2,236,6.2,1
6,3,6,0,18.0,61,1.7,0
4,11,1,0,38.7,268,9.4,1
6,11,1,1,37.8,232,8.0,1
1,5,4,1,22.5,25,0.5,0
1,4,1,0,20.0,22,0.7,0
4,11,4,0,40.1,142,5.4,0
6,23,0,0,23.1,46,1.8,0
4,18,4,0,34.7,634,21.4,1
5,2,6,0,18.0,33,1.1,0
4,5,0,0,22.8,76,2.2,0
4,19,1,0,35.2,540,18.2,1
2,11,4,1,40.7,299,10.4,1
0,7,5,0,26.5,54,0.8,0
1,10,5,2,39.9,349,9.0,1
7,10,4,0,34.1,400,13.2,1
0,1,1,0,18.0,30,0.9,0
5,22,2,1,25.2,301,9.9,1
6,16,4,0,38.8,236,8.1,1
1,5,5,0,18.0,34,0.7,0
1,15,3,1,36.8,306,8.3,1
6,20,6,1,28.7,295,9.9,1
2,6,1,2,23.4,37,0.9,0
4,14,1,0,42.0,233,7.8,1
6,3,5,0,19.1,57,1.9,0
1,10,2,0,32.5,655,16.1,1
3,10,6,1,34.2,435,14.6,1
6,0,0,1,18.0,37,1.4,0
5,11,4,0,38.3,290,9.5,1
4,9,1,0,31.6,595,19.8,1
2,9,4,0,35.4,446,15.2,1
4,14,2,0,42.0,248,8.4,1
2,5,1,0,23.9,27,0.8,0
7,0,4,1,18.0,40,1.1,0
7,23,3,0,24.8,67,2.6,0
0,14,5,1,39.5,371,9.4,1
5,4,5,2,18.0,46,1.5,0
5,13,4,0,42.0,293,9.3,1
1,18,0,1,39.1,645,16.3,1
6,9,3,0,30.9,538,18.3,1
2,0,6,1,20.3,72,2.8,0
1,17,6,1,38.4,614,16.0,1
3,0,0,0,18.0,74,2.6,0
2,23,5,1,21.5,29,0.8,0
2,23,3,0,22.8,34,0.9,0
7,14,0,0,41.9,239,8.3,1
4,2,4,3,18.0,29,0.7,0
6,6,2,0,23.6,34,1.2,0
1,8,6,0,29.9,466,11.8,1
3,12,0,0,42.0,266,8.3,1
2,0,4,0,20.3,55,1.6,0
3,3,3,0,18.0,63,1.9,0
6,14,6,0,41.5,219,6.9,1
2,8,6,3,31.0,224,7.2,1
0,2,1,1,19.5,38,0.8,0
2,4,1,0,18.0,54,2.4,0
4,16,1,2,41.1,182,6.2,1
3,17,0,0,35.8,617,20.2,1
6,3,1,0,18.1,61,2.1,0
1,19,1,0,36.6,687,16.9,1
7,11,1,1,37.3,233,7.7,1
2,8,1,0,30.9,540,17.2,1
6,11,2,1,37.8,213,7.0,1
7,11,6,2,40.9,204,6.8,1
3,9,2,0,33.1,536,18.4,1
6,2,4,0,19.9,62,2.2,0
3,16,1,1,38.4,316,10.8,1
1,20,3,0,28.5,216,5.2,0
1,14,0,0,42.0,332,8.7,1
7,7,2,0,27.0,111,3.6,0
2,17,1,1,37.2,598,20.1,1
6,15,6,0,40.6,337,10.9,1
4,16,1,0,39.1,260,8.7,1
4,15,4,3,37.6,117,3.1,0
0,5,5,2,23.1,51,1.7,0
5,5,5,0,21.6,33,1.3,0
5,18,6,0,33.4,362,12.0,1
6,19,1,2,32.5,382,12.5,1
6,15,0,1,38.0,209,6.8,1
2,10,0,1,37.4,440,15.0,1
1,11,4,0,38.3,301,7.4,1
5,3,2,1,18.0,79,2.4,0
6,9,0,0,30.6,501,16.3,1
5,18,1,3,38.6,371,12.6,1
4,2,5,0,20.6,40,1.1,0
2,9,2,0,32.9,410,14.1,1
6,7,1,2,27.9,66,2.4,0
5,22,5,0,20.0,192,6.7,1
6,13,4,3,42.0,163,6.4,1
0,2,1,1,18.0,57,2.1,0
3,17,0,0,38.3,486,16.7,1
2,4,4,0,18.1,31,1.1,0
5,4,1,1,21.1,79,2.4,0
4,19,6,0,34.4,564,18.9,1
3,15,1,0,41.3,181,6.1,1
7,17,6,0,35.5,349,12.0,1
0,4,5,0,21.0,26,0.8,0
3,4,3,0,18.0,42,1.4,0
4,13,6,0,42.0,235,7.8,1
3,18,4,0,33.8,469,14.7,1
0,0,4,1,20.9,23,1.3,0
1,9,4,0,31.9,719,18.1,1
0,15,6,0,42.0,225,6.2,1
0,20,1,0,28.3,272,6.6,1
2,19,0,0,36.0,570,18.9,1
0,4,5,2,18.0,53,2.0,0
5,6,5,1,21.4,61,1.9,0
7,16,5,0,41.8,320,10.6,1
1,4,1,0,18.5,61,1.5,0
5,18,5,0,37.2,485,16.4,1
2,11,6,0,41.2,262,8.5,1
1,19,6,1,31.8,627,15.8,1
2,10,3,0,34.9,540,18.1,1
5,9,2,3,34.1,417,13.6,1
6,13,3,1,42.0,226,7.3,1
7,21,4,0,24.8,210,6.8,1
3,13,0,0,42.0,243,8.4,1
7,18,0,0,36.1,571,19.4,1
3,3,3,0,20.1,51,1.2,0
6,13,3,0,41.1,317,10.5,1
7,23,5,1,21.9,20,0.8,0
1,11,3,0,38.9,286,7.0,1
1,10,5,0,32.0,514,12.8,1
7,9,5,0,29.7,302,9.7,1
1,7,6,0,24.5,88,1.7,0
5,6,3,0,23.6,26,0.7,0
5,4,2,0,20.3,67,2.2,0
3,10,2,0,33.8,488,16.5,1
2,8,2,1,30.9,534,17.6,1
0,18,6,0,38.2,629,15.1,1
6,13,0,2,42.0,199,5.8,0
7,1,3,3,18.0,54,1.6,0
5,1,0,1,20.9,27,0.8,0
4,21,3,1,27.2,243,8.5,1
2,0,2,0,18.0,27,0.8,0
0,9,1,0,31.0,743,18.9,1
5,23,1,0,20.9,68,2.7,0
5,5,5,0,23.7,66,2.3,0
5,19,5,0,33.7,540,18.0,1
1,20,4,0,30.4,263,7.3,1
0,14,5,0,39.5,201,5.4,0
1,16,0,3,37.5,224,5.4,0
5,6,0,0,20.4,32,1.0,0
3,5,2,1,21.9,30,1.1,0
7,0,1,1,19.6,58,1.9,0
1,15,1,0,42.0,352,8.8,1
3,23,3,0,18.0,79,2.1,0
2,14,6,0,39.6,336,11.3,1
5,12,6,1,40.9,199,6.9,1
0,18,2,2,36.1,538,14.0,1
6,4,6,0,19.3,52,1.5,0
5,16,1,0,42.0,159,5.4,0
3,9,4,1,32.7,384,12.9,1
0,15,2,0,41.5,376,9.3,1
3,11,3,2,35.9,152,4.9,0
3,6,1,1,25.1,53,1.7,0
5,23,5,0,20.1,51,2.1,0
5,19,5,1,33.0,460,14.8,1
2,19,4,0,35.2,549,18.6,1
3,18,5,0,37.0,362,12.1,1
2,21,3,1,28.1,253,8.4,1
0,2,2,0,18.0,36,0.7,0
2,9,2,1,33.2,469,15.4,1
2,16,3,1,39.9,303,9.7,1
5,14,1,1,42.0,289,10.3,1
7,18,2,0,35.9,616,20.1,1
7,10,6,0,35.4,429,14.3,1
6,0,0,3,19.0,18,0.3,0
6,9,0,3,33.5,268,8.9,1
0,11,2,1,38.8,284,7.1,1
1,4,6,0,22.3,76,2.1,0
2,1,6,1,19.6,32,1.1,0
4,16,4,0,39.5,306,10.5,1
1,8,5,0,27.8,551,13.6,1
2,10,6,1,36.6,470,15.7,1
4,6,0,0,24.3,29,1.8,0
3,10,0,0,32.2,446,14.8,1
2,16,6,0,41.6,231,7.6,1
4,1,6,1,19.4,32,0.9,0
5,4,6,0,19.4,75,2.5,0
3,16,4,3,41.7,154,5.1,0
2,0,1,1,20.1,68,2.1,0
2,12,0,0,38.9,230,7.3,1
2,14,2,2,40.3,152,5.3,0
3,11,4,2,42.0,209,6.4,1
7,10,0,0,37.4,510,17.0,1
6,12,4,0,41.0,241,7.9,1
4,14,1,0,42.0,316,10.0,1
2,9,0,1,34.0,371,12.2,1
1,17,6,0,38.9,637,16.3,1
0,23,0,2,19.9,14,0.4,0
5,14,2,1,40.9,218,7.3,1
4,19,3,2,34.7,442,14.9,1
1,17,3,0,42.0,795,19.4,1
6,5,5,0,22.7,38,0.7,0
1,20,3,1,29.1,212,5.2,0
3,17,0,0,40.7,511,16.9,1
3,22,4,1,26.1,274,9.2,1
5,13,0,0,40.8,246,8.4,1
1,21,6,0,24.8,247,6.4,1
1,13,3,1,42.0,236,6.3,1
2,0,4,1,20.8,71,1.8,0
2,8,5,0,34.0,333,11.3,1
3,8,0,0,29.1,521,17.3,1
2,15,5,0,42.0,268,8.7,1
2,21,4,0,29.7,261,8.8,1
4,0,1,1,18.0,43,1.4,0
7,3,4,0,20.6,20,0.7,0
1,20,0,0,31.0,306,7.1,1
6,23,6,3,20.7,19,0.5,0
3,16,0,0,39.4,231,7.5,1
4,13,3,0,40.9,261,8.9,1
3,3,5,0,20.9,56,2.0,0
4,17,1,0,37.9,498,15.9,1
3,19,1,1,29.1,610,20.8,1
3,0,4,0,18.0,42,1.3,0
7,12,2,0,40.7,198,6.3,1
7,2,4,0,19.3,27,1.1,0
4,12,2,0,42.0,167,5.7,0
0,3,3,2,19.3,21,0.7,0
1,1,2,1,18.0,21,0.8,0
7,9,3,3,34.6,291,9.6,1
3,7,1,2,26.1,42,1.1,0
4,10,3,0,39.2,600,20.2,1
5,8,5,0,27.3,379,12.0,1
5,3,1,0,21.5,68,2.0,0
5,10,5,3,33.2,228,8.0,1
0,18,6,0,32.2,557,14.0,1
1,15,0,3,39.9,206,5.2,0
5,1,2,0,18.0,77,2.4,0
3,4,0,0,19.7,66,2.0,0
2,13,5,0,41.5,244,8.5,1
2,17,3,0,40.4,580,19.3,1
1,17,5,0,40.2,489,12.4,1
2,11,6,0,40.2,199,6.4,1
5,20,3,3,28.8,199,6.4,1
2,19,3,2,30.4,357,12.4,1
7,20,3,0,29.1,205,6.9,1
3,8,4,1,30.8,445,15.1,1
2,23,2,0,21.7,29,0.8,0
5,21,4,1,27.7,227,7.8,1
7,0,0,2,20.5,46,1.3,0
7,1,0,0,18.0,39,1.3,0
7,13,2,1,41.8,297,9.9,1
0,11,6,2,42.0,258,6.2,1
4,14,6,0,42.0,230,7.4,1
0,21,3,0,28.3,320,8.2,1
0,18,1,0,34.2,769,19.6,1
0,22,4,0,21.6,335,8.3,1
3,14,0,0,42.0,205,7.1,1
0,6,6,0,21.8,26,1.1,0
2,23,4,0,19.2,77,2.8,0
0,6,1,0,26.2,32,0.8,0
3,18,3,0,34.3,606,20.5,1
4,7,6,0,24.8,59,1.9,0
3,19,5,0,35.6,410,13.6,1
3,15,4,2,42.0,142,4.3,0
0,17,5,0,40.5,493,12.5,1
0,7,4,0,26.8,143,3.8,0
1,15,0,0,37.4,283,7.4,1
6,14,3,0,40.4,226,8.2,1
7,1,1,0,18.0,42,1.1,0
3,13,6,0,41.2,224,7.5,1
3,14,4,0,42.0,153,5.6,0
0,8,3,1,28.8,571,14.3,1
4,17,6,0,35.6,464,15.7,1
1,8,1,0,29.5,593,14.8,1
4,23,3,1,21.9,42,1.3,0
6,12,4,0,41.2,312,10.8,1
0,15,5,0,42.0,363,9.0,1
1,7,5,0,28.2,70,2.1,0
7,19,1,2,35.0,373,12.7,1
4,0,3,1,18.0,34,0.8,0
5,18,2,0,34.2,600,20.3,1
5,17,3,0,42.0,655,21.5,1
2,5,5,0,21.3,70,1.8,0
2,20,2,0,28.8,334,11.8,1
4,16,3,0,41.8,227,7.8,1
6,2,6,0,18.0,54,1.6,0
2,17,5,1,38.8,407,13.6,1
4,18,6,2,35.7,343,11.6,1
1,5,5,2,21.3,18,0.0,0
2,19,1,2,32.6,380,12.7,1
0,19,6,2,32.3,459,11.3,1
7,8,1,0,29.8,589,19.8,1
4,6,3,0,23.4,73,2.7,0
6,13,1,1,41.7,179,5.9,0
4,5,5,1,21.2,48,1.6,0
0,0,2,0,19.0,36,1.1,0
3,23,6,3,23.5,22,0.6,0
5,23,6,0,20.6,66,1.8,0
1,4,1,3,19.3,20,0.5,0
1,16,5,0,39.6,314,7.9,1
3,0,4,0,25.8,68,2.4,0
6,23,0,0,21.6,44,1.6,0
0,9,1,2,30.5,385,10.0,1
0,23,0,0,22.7,79,1.9,0
3,17,2,1,33.5,501,16.5,1
1,14,0,0,40.8,360,8.9,1
7,1,0,0,18.0,47,1.7,0
4,14,5,1,42.0,250,8.7,1
3,13,6,0,37.2,282,9.5,1
6,3,2,0,21.0,64,2.1,0
2,2,0,1,20.2,56,2.1,0
5,16,2,0,37.9,247,8.3,1
1,16,4,1,38.4,271,7.0,1
3,3,2,1,18.0,28,0.8,0
4,10,4,0,36.4,591,20.3,1
5,9,4,0,33.2,380,12.4,1
6,8,2,0,33.7,454,15.3,1
0,13,2,0,42.0,336,8.1,1
6,13,3,1,41.1,224,7.5,1
2,16,0,0,41.7,304,10.7,1
3,3,2,3,19.1,16,0.2,0
6,12,3,0,42.0,223,7.1,1
2,16,3,0,38.4,224,8.1,1
4,19,2,0,36.6,667,22.3,1
1,23,6,0,18.8,78,1.9,0
3,0,2,0,19.1,52,2.2,0
5,15,2,1,40.3,266,9.0,1
4,8,1,0,32.0,603,20.2,1
0,19,4,0,32.2,786,19.7,1
0,12,5,1,42.0,244,6.6,1
4,4,5,0,19.7,32,1.0,0
3,9,1,0,33.2,518,17.3,1
4,12,0,2,41.3,126,4.4,0
3,17,4,0,37.7,670,22.5,1
3,1,4,0,18.7,20,0.3,0
3,6,5,2,21.4,28,1.0,0
4,22,6,1,19.8,182,6.0,1
0,9,0,0,33.3,565,13.4,1
7,17,5,1,36.6,512,17.4,1
1,6,6,0,23.5,51,1.3,0
7,20,6,0,30.8,242,8.2,1
0,1,2,0,19.8,42,0.9,0
2,17,1,0,38.7,576,19.5,1
0,12,3,0,41.6,314,8.1,1
7,6,0,0,20.8,51,1.4,0
0,5,3,0,22.9,52,0.7,0
1,15,5,0,41.5,289,7.5,1
0,15,2,0,42.0,266,6.8,1
1,0,0,0,19.8,22,0.6,0
1,4,6,1,20.2,66,1.3,0
1,6,6,1,21.8,67,1.5,0
0,5,5,0,18.0,56,1.2,0
7,12,4,0,38.7,264,9.2,1
7,11,0,0,39.0,273,9.2,1
0,23,1,2,21.8,30,0.4,0
4,15,0,0,40.1,296,9.7,1
5,3,0,0,18.0,62,2.1,0
4,7,2,1,26.7,144,4.8,0
4,8,2,1,31.5,498,16.7,1
5,8,5,0,32.8,301,10.3,1
6,12,4,0,40.4,169,5.7,0
0,4,4,0,22.5,48,1.8,0
5,6,1,1,21.7,48,1.3,0
1,18,2,0,36.4,852,21.4,1
0,19,4,3,34.6,501,12.9,1
3,6,3,0,24.0,50,1.6,0
0,20,4,0,29.4,310,7.3,1
6,5,1,0,20.5,20,0.7,0
7,21,4,2,26.7,184,5.9,0
2,10,3,0,37.4,554,18.5,1
3,7,5,0,25.2,144,4.9,0
7,18,1,0,37.1,526,17.3,1
0,3,0,0,23.8,41,1.3,0
0,17,5,0,39.9,734,18.4,1
0,17,5,0,39.1,722,17.9,1
4,21,0,0,28.3,209,7.4,1
4,12,1,0,36.1,227,7.5,1
4,20,0,0,31.3,255,8.5,1
5,5,6,1,20.3,24,0.6,0
0,9,4,0,33.2,624,15.1,1
1,6,0,1,18.4,56,1.0,0
2,1,0,1,18.8,36,1.0,0
1,6,6,1,26.3,30,0.7,0
4,11,0,0,36.5,227,7.5,1
5,5,4,0,26.0,36,0.9,0
5,13,0,0,40.1,186,6.2,1
6,12,2,2,41.0,105,3.2,0
3,7,2,0,23.3,126,3.7,0
7,8,2,0,28.9,556,18.2,1
1,7,2,1,29.0,128,2.7,0
5,17,3,0,35.8,583,18.9,1
1,16,3,0,42.0,364,9.1,1
1,14,4,0,42.0,329,7.9,1
4,21,2,1,26.7,164,6.0,1
3,2,1,0,19.4,20,0.9,0
2,23,0,1,23.9,20,0.9,0
6,0,0,0,18.1,71,2.5,0
5,0,6,1,18.4,55,2.0,0
4,22,4,3,23.9,156,5.0,0
4,5,6,0,24.3,68,1.9,0
0,16,3,3,37.9,142,3.9,0
1,14,6,0,42.0,339,8.8,1
3,6,5,0,25.0,71,2.8,0
6,3,4,0,19.7,46,1.6,0
5,18,4,0,36.1,588,19.9,1
0,20,0,1,28.2,370,9.4,1
2,7,3,0,28.7,110,3.5,0
5,7,4,0,28.0,60,2.1,0
1,17,0,3,35.7,586,14.9,1
5,17,1,0,37.2,440,14.6,1
7,1,0,1,18.0,21,1.0,0
5,21,1,1,25.6,180,5.8,0
1,8,3,1,31.2,617,15.6,1
1,18,1,1,34.5,763,19.3,1
3,6,0,0,24.5,50,1.5,0
2,0,3,0,19.3,31,1.0,0
6,12,3,0,38.1,303,9.9,1
3,6,6,0,20.0,56,1.5,0
7,8,1,0,28.8,533,17.2,1
2,1,0,1,20.2,77,2.7,0
1,14,1,0,38.0,255,6.3,1
0,17,3,2,41.4,534,12.6,1
1,15,3,0,39.0,277,6.7,1
1,10,4,2,39.0,438,10.8,1
3,10,1,3,35.0,400,13.3,1
6,9,2,0,34.1,412,13.4,1
1,15,5,3,39.7,184,5.1,0
6,8,3,1,32.6,488,16.4,1
4,10,6,1,35.3,259,8.8,1
5,4,5,0,18.7,28,1.0,0
4,21,2,0,27.6,189,6.1,1
5,16,4,0,41.4,302,10.0,1
0,18,1,1,34.9,706,17.8,1
3,5,2,1,20.0,50,2.5,0
0,8,0,0,29.0,579,14.4,1
2,0,3,1,18.4,25,0.6,0
0,7,0,1,25.4,120,2.9,0
0,9,6,2,29.8,404,9.8,1
7,7,4,0,25.5,55,1.9,0
2,2,0,2,21.0,14,0.1,0
6,1,6,0,19.5,48,1.4,0
3,11,0,0,39.1,161,5.2,0
1,21,1,0,26.3,302,7.8,1
1,14,5,0,38.0,306,7.7,1
4,4,5,1,20.6,43,1.2,0
1,12,5,0,38.2,244,6.3,1
2,19,6,2,30.6,260,9.2,1
7,16,6,1,41.5,207,6.7,1
3,18,6,0,35.1,485,16.9,1
5,13,2,0,42.0,250,9.1,1
2,23,6,0,19.2,28,1.1,0
6,15,2,0,42.0,265,8.9,1
1,9,4,2,29.0,438,10.4,1
7,4,4,1,20.4,73,2.8,0
1,17,0,0,42.0,731,17.4,1
4,11,0,0,37.5,274,8.8,1
2,22,1,3,25.9,197,6.7,1
2,22,0,1,24.0,241,8.4,1
7,8,5,1,31.3,421,13.7,1
3,7,6,0,26.3,91,2.7,0
1,3,2,0,21.1,63,2.1,0
4,15,6,0,42.0,270,9.1,1
4,13,2,1,42.0,217,7.2,1
2,8,4,0,29.2,562,19.0,1
4,20,3,1,32.9,213,7.0,1
5,18,0,0,37.8,599,20.4,1
1,1,1,0,18.0,32,0.8,0
4,23,2,0,22.0,63,2.5,0
3,12,0,0,36.7,245,8.5,1
7,4,4,0,20.0,58,2.0,0
4,19,5,0,33.2,523,16.9,1
0,3,2,3,19.9,49,1.5,0
6,7,2,1,27.4,63,1.8,0
3,14,5,0,40.6,210,6.9,1
7,15,0,0,41.5,234,7.3,1
4,2,3,0,18.0,46,2.1,0
4,12,0,0,41.5,271,8.6,1
5,7,5,0,28.0,98,3.2,0
6,18,6,2,36.4,363,12.2,1
7,0,4,3,19.1,54,1.9,0
4,20,6,0,30.8,280,9.4,1
3,17,3,0,39.0,534,17.9,1
0,20,6,3,31.9,224,5.8,0
4,8,5,2,29.2,244,8.3,1
7,20,0,0,28.5,302,9.5,1
5,15,1,1,42.0,262,8.9,1
3,21,4,2,26.6,168,5.9,0
6,4,3,0,22.0,31,1.0,0
5,22,4,1,23.9,209,6.7,1
2,3,4,1,19.9,68,2.3,0
2,8,4,0,28.3,469,15.5,1
3,1,3,1,18.0,62,2.1,0
7,6,3,0,23.0,48,2.0,0
3,15,6,3,40.5,109,3.6,0
1,11,6,0,36.5,283,6.8,1
6,8,4,1,28.7,394,13.4,1
4,4,2,0,19.5,23,0.9,0
6,1,5,2,18.8,44,1.3,0
4,8,3,0,29.0,497,16.3,1
0,22,6,1,24.4,264,7.0,1
3,2,5,0,18.5,56,2.0,0
0,8,0,0,28.1,555,14.4,1
6,9,3,0,31.7,478,16.0,1
3,8,6,0,33.4,457,14.7,1
5,7,5,3,26.9,46,1.1,0
3,1,4,0,18.0,48,1.1,0
0,5,4,0,22.6,46,1.3,0
6,10,6,0,33.5,265,8.3,1
0,16,1,0,40.7,211,5.5,0
2,11,2,3,36.5,109,3.6,0
7,19,6,0,33.1,515,17.4,1
2,20,3,2,31.0,179,5.7,0
2,9,6,0,31.4,357,11.8,1
3,18,4,2,35.5,347,11.8,1
2,3,5,0,18.0,61,1.9,0
7,0,3,0,18.4,39,1.2,0
3,2,0,2,18.0,36,1.5,0
5,11,4,2,39.3,188,6.5,1
1,11,3,1,39.5,269,6.9,1
6,0,3,1,19.6,43,1.7,0
4,1,6,1,21.4,43,1.8,0
1,10,4,0,36.1,590,15.2,1
0,6,5,0,27.4,65,2.1,0
5,14,1,1,42.0,231,7.6,1
4,2,0,0,18.0,33,1.2,0
3,21,1,0,29.8,262,8.5,1
6,14,5,1,42.0,261,8.7,1
5,20,0,0,30.5,260,8.2,1
6,6,2,0,25.2,35,1.1,0
1,4,0,0,18.3,71,2.1,0
3,20,4,0,29.3,258,8.6,1
4,2,1,2,18.0,27,1.4,0
6,17,0,0,38.4,532,18.2,1
6,17,5,1,37.9,472,16.1,1
7,1,3,1,18.0,33,1.2,0
3,0,0,1,18.0,67,2.6,0
2,6,4,1,22.5,30,1.1,0
7,12,4,0,38.7,260,8.3,1
2,5,5,1,19.0,72,2.7,0
7,20,0,0,31.1,219,6.8,1
7,3,1,0,18.9,40,1.3,0
1,4,0,0,18.0,38,0.9,0
6,13,0,0,42.0,292,9.6,1
3,13,2,1,42.0,244,7.5,1
1,2,6,0,18.0,50,1.0,0
4,13,0,2,37.4,169,5.8,0
0,14,3,0,42.0,329,8.1,1
7,11,6,0,37.2,248,8.3,1
4,22,3,0,24.1,262,8.8,1
2,15,2,2,40.2,142,4.8,0
1,22,5,1,27.0,334,8.5,1
0,4,0,1,20.2,33,0.5,0
5,22,5,3,21.3,162,5.2,0
6,5,1,1,18.4,55,1.6,0
3,2,5,2,19.5,16,0.4,0
6,12,3,0,39.0,239,7.5,1
1,6,5,0,26.2,69,1.3,0
1,22,5,0,18.4,256,6.7,1
0,16,4,0,39.8,314,7.5,1
3,14,0,0,40.5,314,10.3,1
4,6,3,0,25.5,30,1.2,0
6,11,3,1,39.5,180,6.3,1
